Date,State,DailyCases,Deaths,Recovered,Vaccinated,Population,Vax_pct
2021-01-01,Telangana,208,4,170,21842,32606740,0.07
2021-01-02,Telangana,443,9,361,36903,32606740,0.11
2021-01-03,Telangana,636,12,519,82676,32606740,0.25
2021-01-04,Telangana,197,4,161,97826,32606740,0.3
2021-01-05,Telangana,94,2,77,128531,32606740,0.39
2021-01-06,Telangana,372,7,303,135364,32606740,0.42
2021-01-07,Telangana,261,5,213,158166,32606740,0.49
2021-01-08,Telangana,904,18,737,199899,32606740,0.61
2021-01-09,Telangana,387,8,316,233500,32606740,0.72
2021-01-10,Telangana,645,13,526,247631,32606740,0.76
2021-01-11,Telangana,957,19,780,296224,32606740,0.91
2021-01-12,Telangana,1096,21,894,336336,32606740,1.03
2021-01-13,Telangana,828,16,675,356455,32606740,1.09
2021-01-14,Telangana,937,18,764,405127,32606740,1.24
2021-01-15,Telangana,576,11,470,414493,32606740,1.27
2021-01-16,Telangana,1252,24,1021,431091,32606740,1.32
2021-01-17,Telangana,1391,27,1134,477618,32606740,1.46
2021-01-18,Telangana,523,10,426,526129,32606740,1.61
2021-01-19,Telangana,1689,33,1377,567285,32606740,1.74
2021-01-20,Telangana,1031,20,841,576845,32606740,1.77
2021-01-21,Telangana,1505,29,1227,587770,32606740,1.8
2021-01-22,Telangana,1440,28,1174,620142,32606740,1.9
2021-01-23,Telangana,1495,29,1219,622939,32606740,1.91
2021-01-24,Telangana,1552,30,1265,672498,32606740,2.06
2021-01-25,Telangana,1423,28,1160,719569,32606740,2.21
2021-01-26,Telangana,1991,39,1623,759987,32606740,2.33
2021-01-27,Telangana,1867,36,1522,808395,32606740,2.48
2021-01-28,Telangana,1686,33,1375,819880,32606740,2.51
2021-01-29,Telangana,1900,37,1549,863943,32606740,2.65
2021-01-30,Telangana,1962,38,1600,876809,32606740,2.69
2021-01-31,Telangana,2339,46,1907,882868,32606740,2.71
2021-02-01,Telangana,2795,55,2279,895989,32606740,2.75
2021-02-02,Telangana,2598,51,2118,934727,32606740,2.87
2021-02-03,Telangana,3274,64,2669,981876,32606740,3.01
2021-02-04,Telangana,3123,61,2546,1012472,32606740,3.11
2021-02-05,Telangana,3258,64,2656,1024742,32606740,3.14
2021-02-06,Telangana,3545,69,2890,1054784,32606740,3.23
2021-02-07,Telangana,4163,81,3394,1080264,32606740,3.31
2021-02-08,Telangana,3546,69,2891,1106161,32606740,3.39
2021-02-09,Telangana,4678,91,3814,1123655,32606740,3.45
2021-02-10,Telangana,4702,92,3834,1130589,32606740,3.47
2021-02-11,Telangana,4650,91,3791,1148652,32606740,3.52
