Date,Ticker,Open,High,Low,Close,Volume,Return
2022-01-03,RELIANCE,2436.64,2464.58,2408.47,2444.19,886312,1.8245
2022-01-04,RELIANCE,2410.94,2444.88,2370.75,2405.17,1464920,-1.6095
2022-01-05,RELIANCE,2424.57,2442.5,2393.62,2424.51,3052920,0.801
2022-01-06,RELIANCE,2472.44,2490.92,2447.53,2479.27,3409666,2.2336
2022-01-07,RELIANCE,2407.74,2470.98,2361.48,2434.86,2732084,-1.8077
2022-01-10,RELIANCE,2374.97,2386.52,2341.57,2377.68,2659518,-2.3763
2022-01-11,RELIANCE,2331.17,2336.18,2299.06,2334.34,1393695,-1.8394
2022-01-12,RELIANCE,2416.77,2440.82,2379.6,2412.92,4267794,3.3107
2022-01-13,RELIANCE,2413.17,2414.81,2365.27,2387.56,1543869,-1.0568
2022-01-14,RELIANCE,2344.99,2382.08,2307.41,2337.45,902092,-2.1208
2022-01-17,RELIANCE,2363.98,2410.19,2325.4,2353.86,1183475,0.6994
2022-01-18,RELIANCE,2238.71,2284.67,2198.94,2242.13,647253,-4.8629
2022-01-19,RELIANCE,2190.34,2211.39,2147.46,2204.82,4984663,-1.6783
2022-01-20,RELIANCE,2259.41,2304.74,2237.58,2262.56,2168826,2.5853
2022-01-21,RELIANCE,2216.71,2229.85,2190.07,2224.88,4072949,-1.6797
2022-01-24,RELIANCE,2214.79,2231.05,2201.93,2215.34,2634628,-0.4294
2022-01-25,RELIANCE,2222.49,2231.75,2184.91,2228.0,4628622,0.5694
2022-01-26,RELIANCE,2221.94,2277.61,2190.36,2240.74,3378054,0.5704
2022-01-27,RELIANCE,2234.32,2244.32,2179.22,2220.25,1593838,-0.9185
2022-01-28,RELIANCE,2241.51,2272.92,2214.39,2243.09,1013222,1.0235
2022-01-31,RELIANCE,2299.37,2338.31,2266.78,2303.17,1270195,2.6432
2022-02-01,RELIANCE,2248.0,2277.7,2243.72,2260.48,3142815,-1.871
2022-02-02,RELIANCE,2236.42,2277.14,2209.29,2241.75,629493,-0.832
2022-02-03,RELIANCE,2228.75,2252.99,2211.95,2238.41,4158657,-0.1493
2022-02-04,RELIANCE,2254.16,2274.42,2231.25,2267.69,1789320,1.2997
2022-02-07,RELIANCE,2271.8,2292.69,2255.13,2269.95,4592972,0.0996
2022-02-08,RELIANCE,2260.36,2297.86,2247.37,2265.67,1040404,-0.1889
2022-02-09,RELIANCE,2212.49,2214.24,2168.06,2204.24,4548921,-2.7489
2022-02-10,RELIANCE,2156.71,2195.44,2132.66,2160.6,4436864,-1.9995
2022-02-11,RELIANCE,2170.22,2181.32,2157.99,2168.97,2833116,0.3868
2022-02-14,RELIANCE,2150.79,2180.1,2116.9,2149.87,2649857,-0.8849
2022-02-15,RELIANCE,2141.64,2146.52,2134.33,2137.52,4546611,-0.5758
2022-02-16,RELIANCE,2127.01,2152.64,2114.54,2136.0,4168729,-0.0714
2022-02-17,RELIANCE,2238.87,2259.69,2213.86,2228.85,2919246,4.255
2022-02-18,RELIANCE,2196.82,2230.57,2189.02,2209.86,1994764,-0.8555
2022-02-21,RELIANCE,2267.11,2279.5,2228.43,2266.63,830112,2.5365
2022-02-22,RELIANCE,2307.81,2346.38,2276.71,2321.8,4682793,2.4049
2022-02-23,RELIANCE,2355.16,2369.65,2323.58,2356.58,4881523,1.4868
2022-02-24,RELIANCE,2332.18,2339.94,2294.31,2321.83,4422640,-1.4854
2022-02-25,RELIANCE,2334.97,2341.2,2310.89,2328.51,511723,0.2869
2022-02-28,RELIANCE,2325.36,2366.98,2282.63,2313.12,2431341,-0.6629
2022-03-01,RELIANCE,2395.86,2405.76,2360.57,2399.49,1786068,3.6659
2022-03-02,RELIANCE,2429.25,2448.45,2392.22,2418.26,2450891,0.7792
2022-03-03,RELIANCE,2401.62,2422.11,2379.01,2409.96,708710,-0.3437
2022-03-04,RELIANCE,2483.94,2520.32,2472.83,2489.65,2934686,3.2529
2022-03-07,RELIANCE,2476.5,2493.62,2470.73,2474.89,2946505,-0.5945
2022-03-08,RELIANCE,2511.21,2525.59,2498.52,2500.58,1615353,1.0329
2022-03-09,RELIANCE,2526.48,2582.51,2490.39,2533.41,3053444,1.3043
2022-03-10,RELIANCE,2559.19,2610.21,2532.54,2550.32,2952074,0.6653
2022-03-11,RELIANCE,2549.41,2556.17,2510.38,2546.46,3370688,-0.1515
2022-03-14,RELIANCE,2590.53,2626.43,2559.91,2586.18,1554491,1.5475
2022-03-15,RELIANCE,2547.11,2603.57,2524.34,2558.04,1131620,-1.0939
2022-03-16,RELIANCE,2605.86,2661.58,2573.08,2610.88,1959852,2.0447
2022-03-17,RELIANCE,2597.51,2614.22,2587.99,2598.73,578405,-0.4665
2022-03-18,RELIANCE,2667.63,2709.48,2610.95,2663.13,3632743,2.448
2022-03-21,RELIANCE,2703.89,2732.64,2686.03,2714.85,1695569,1.9233
2022-03-22,RELIANCE,2725.2,2777.02,2683.28,2742.92,1932327,1.0288
2022-03-23,RELIANCE,2710.35,2767.67,2696.92,2739.57,731731,-0.1224
2022-03-24,RELIANCE,2806.03,2845.73,2769.44,2795.6,2858749,2.0248
2022-03-25,RELIANCE,2838.96,2890.78,2797.4,2825.62,658781,1.068
2022-03-28,RELIANCE,2640.93,2673.75,2624.73,2667.74,2635425,-5.7498
2022-03-29,RELIANCE,2630.81,2642.53,2611.47,2629.81,1687773,-1.4319
2022-03-30,RELIANCE,2633.89,2669.78,2610.96,2638.87,3331998,0.3437
2022-03-31,RELIANCE,2669.39,2688.46,2608.87,2653.25,4994758,0.5435
2022-04-01,RELIANCE,2685.48,2718.3,2658.63,2688.31,3037357,1.3129
2022-04-04,RELIANCE,2772.96,2816.37,2760.52,2765.42,4115256,2.8279
2022-04-05,RELIANCE,2789.95,2835.01,2777.86,2795.89,1389331,1.096
2022-04-06,RELIANCE,2684.76,2735.32,2631.82,2694.02,2127877,-3.7118
2022-04-07,RELIANCE,2715.08,2723.83,2699.84,2704.7,4172690,0.3958
2022-04-08,RELIANCE,2780.56,2782.25,2729.82,2765.65,2192424,2.2284
2022-04-11,RELIANCE,2754.73,2820.65,2743.1,2772.32,4657566,0.2409
2022-04-12,RELIANCE,2799.5,2824.79,2759.56,2783.6,4684311,0.4062
2022-04-13,RELIANCE,2746.6,2795.14,2726.99,2760.05,3858372,-0.8496
2022-04-14,RELIANCE,2775.99,2812.84,2721.74,2808.74,3478904,1.7486
2022-04-15,RELIANCE,2792.21,2831.73,2761.27,2792.06,2043174,-0.5957
