StudentID,Gender,Section,Attendance_%,StudyHrs_day,Subject,Score,Pass
S0001,Female,D,75.0,4.7,Maths,82.9,Pass
S0001,Female,D,75.0,4.7,Science,76.7,Pass
S0001,Female,D,75.0,4.7,English,82.4,Pass
S0001,Female,D,75.0,4.7,History,79.6,Pass
S0001,Female,D,75.0,4.7,CS,80.6,Pass
S0002,Male,C,89.6,2.8,Maths,75.4,Pass
S0002,Male,C,89.6,2.8,Science,70.4,Pass
S0002,Male,C,89.6,2.8,English,74.1,Pass
S0002,Male,C,89.6,2.8,History,60.6,Pass
S0002,Male,C,89.6,2.8,CS,85.8,Pass
S0003,Female,D,74.2,5.9,Maths,66.8,Pass
S0003,Female,D,74.2,5.9,Science,76.9,Pass
S0003,Female,D,74.2,5.9,English,85.6,Pass
S0003,Female,D,74.2,5.9,History,87.5,Pass
S0003,Female,D,74.2,5.9,CS,61.4,Pass
S0004,Female,D,93.1,3.5,Maths,79.0,Pass
S0004,Female,D,93.1,3.5,Science,84.5,Pass
S0004,Female,D,93.1,3.5,English,80.4,Pass
S0004,Female,D,93.1,3.5,History,93.3,Pass
S0004,Female,D,93.1,3.5,CS,71.7,Pass
S0005,Male,C,87.4,2.3,Maths,55.4,Pass
S0005,Male,C,87.4,2.3,Science,84.0,Pass
S0005,Male,C,87.4,2.3,English,70.5,Pass
S0005,Male,C,87.4,2.3,History,58.3,Pass
S0005,Male,C,87.4,2.3,CS,74.3,Pass
S0006,Female,B,79.5,4.1,Maths,89.4,Pass
S0006,Female,B,79.5,4.1,Science,64.4,Pass
S0006,Female,B,79.5,4.1,English,100.0,Pass
S0006,Female,B,79.5,4.1,History,68.7,Pass
S0006,Female,B,79.5,4.1,CS,78.0,Pass
S0007,Female,C,69.3,2.6,Maths,58.8,Pass
S0007,Female,C,69.3,2.6,Science,71.4,Pass
S0007,Female,C,69.3,2.6,English,69.7,Pass
S0007,Female,C,69.3,2.6,History,56.1,Pass
S0007,Female,C,69.3,2.6,CS,99.3,Pass
S0008,Female,B,85.5,5.9,Maths,77.5,Pass
S0008,Female,B,85.5,5.9,Science,77.5,Pass
S0008,Female,B,85.5,5.9,English,92.2,Pass
S0008,Female,B,85.5,5.9,History,100.0,Pass
S0008,Female,B,85.5,5.9,CS,93.7,Pass
S0009,Male,C,84.0,4.0,Maths,66.2,Pass
S0009,Male,C,84.0,4.0,Science,80.3,Pass
S0009,Male,C,84.0,4.0,English,59.4,Pass
S0009,Male,C,84.0,4.0,History,87.2,Pass
S0009,Male,C,84.0,4.0,CS,61.9,Pass
S0010,Male,D,89.7,3.8,Maths,71.4,Pass
S0010,Male,D,89.7,3.8,Science,79.4,Pass
S0010,Male,D,89.7,3.8,English,83.9,Pass
S0010,Male,D,89.7,3.8,History,76.9,Pass
S0010,Male,D,89.7,3.8,CS,94.7,Pass
S0011,Male,B,96.0,4.9,Maths,90.8,Pass
S0011,Male,B,96.0,4.9,Science,90.0,Pass
S0011,Male,B,96.0,4.9,English,71.3,Pass
S0011,Male,B,96.0,4.9,History,100.0,Pass
S0011,Male,B,96.0,4.9,CS,75.5,Pass
S0012,Female,C,95.9,2.5,Maths,96.1,Pass
S0012,Female,C,95.9,2.5,Science,99.0,Pass
S0012,Female,C,95.9,2.5,English,83.9,Pass
S0012,Female,C,95.9,2.5,History,89.1,Pass
S0012,Female,C,95.9,2.5,CS,47.9,Pass
