Date,Month,Season,TempMax_C,TempMin_C,TempAvg_C,Rainfall_mm,Humidity_%,WindSpeed_kmh,Extreme
2022-01-01,1,Winter,18.0,7.7,12.8,0.3,38.3,12.3,False
2022-01-02,1,Winter,17.4,5.5,11.4,0.7,30.1,3.0,False
2022-01-03,1,Winter,20.1,6.8,13.4,0.5,45.8,18.4,False
2022-01-04,1,Winter,22.7,7.6,15.2,0.1,42.1,7.5,False
2022-01-05,1,Winter,21.3,10.5,15.9,0.1,41.5,6.8,False
2022-01-06,1,Winter,18.8,8.1,13.4,0.7,41.1,12.9,False
2022-01-07,1,Winter,21.5,7.2,14.4,0.3,29.0,11.5,False
2022-01-08,1,Winter,20.2,9.5,14.8,0.4,34.0,14.8,False
2022-01-09,1,Winter,19.5,6.3,12.9,0.0,36.4,26.1,False
2022-01-10,1,Winter,19.5,5.9,12.7,1.5,34.6,10.0,False
2022-01-11,1,Winter,19.3,8.8,14.0,0.0,36.6,23.1,False
2022-01-12,1,Winter,21.1,6.3,13.7,0.1,38.9,5.4,False
2022-01-13,1,Winter,20.1,8.1,14.1,0.0,42.4,29.3,False
2022-01-14,1,Winter,18.5,5.6,12.0,0.1,29.7,3.4,False
2022-01-15,1,Winter,18.4,3.9,11.1,0.1,36.7,5.7,True
2022-01-16,1,Winter,20.7,10.3,15.5,0.1,40.0,13.1,False
2022-01-17,1,Winter,21.0,6.6,13.8,0.5,31.6,14.9,False
2022-01-18,1,Winter,19.6,5.6,12.6,0.2,34.9,13.8,False
2022-01-19,1,Winter,18.1,10.3,14.2,0.2,38.0,19.5,False
2022-01-20,1,Winter,22.9,9.6,16.2,0.0,35.4,29.6,False
2022-01-21,1,Winter,22.6,9.7,16.2,0.5,38.5,3.5,False
2022-01-22,1,Winter,16.6,8.9,12.8,1.2,35.3,4.8,False
2022-01-23,1,Winter,23.4,9.4,16.4,0.7,33.0,0.9,False
2022-01-24,1,Winter,20.4,9.2,14.8,0.2,28.5,6.6,False
2022-01-25,1,Winter,21.3,7.2,14.2,0.5,35.3,7.3,False
2022-01-26,1,Winter,23.3,12.8,18.0,0.7,34.4,21.1,False
2022-01-27,1,Winter,24.4,11.0,17.7,0.6,28.7,2.8,False
2022-01-28,1,Winter,23.2,7.9,15.6,0.8,36.3,10.3,False
2022-01-29,1,Winter,21.8,8.2,15.0,0.0,39.5,9.2,False
2022-01-30,1,Winter,18.7,11.5,15.1,0.8,29.7,12.7,False
2022-01-31,1,Winter,17.5,8.4,13.0,0.3,29.2,5.3,False
2022-02-01,2,Winter,23.4,7.0,15.2,0.1,28.8,12.8,False
2022-02-02,2,Winter,24.4,9.9,17.2,0.7,24.0,9.3,False
2022-02-03,2,Winter,20.3,11.9,16.1,0.5,42.3,17.2,False
2022-02-04,2,Winter,21.5,8.3,14.9,2.4,29.8,16.1,False
2022-02-05,2,Winter,21.0,6.7,13.8,0.3,27.6,28.5,False
2022-02-06,2,Winter,21.1,12.0,16.6,1.7,26.1,10.0,False
2022-02-07,2,Winter,24.5,10.3,17.4,0.2,29.6,19.0,False
2022-02-08,2,Winter,23.0,8.3,15.6,0.0,28.0,2.4,False
2022-02-09,2,Winter,22.2,10.4,16.3,1.1,38.5,5.8,False
2022-02-10,2,Winter,28.1,14.3,21.2,0.8,24.9,5.1,False
2022-02-11,2,Winter,20.0,10.0,15.0,1.5,23.3,32.6,False
2022-02-12,2,Winter,24.1,13.0,18.6,0.4,33.7,3.5,False
2022-02-13,2,Winter,21.1,13.7,17.4,0.6,30.3,7.2,False
2022-02-14,2,Winter,23.0,14.8,18.9,0.0,29.6,13.0,False
2022-02-15,2,Winter,23.8,9.1,16.4,1.9,33.4,11.6,False
2022-02-16,2,Winter,25.3,13.3,19.3,0.0,31.2,6.4,False
2022-02-17,2,Winter,23.2,11.1,17.2,0.6,30.2,29.2,False
2022-02-18,2,Winter,23.2,10.8,17.0,0.1,23.3,4.0,False
2022-02-19,2,Winter,23.5,11.7,17.6,1.9,21.9,10.6,False
2022-02-20,2,Winter,22.1,11.6,16.8,1.4,26.7,16.5,False
2022-02-21,2,Winter,25.6,11.6,18.6,0.1,24.7,8.5,False
2022-02-22,2,Winter,25.1,12.2,18.6,0.1,31.5,15.4,False
2022-02-23,2,Winter,25.5,14.2,19.8,0.1,21.1,5.7,False
2022-02-24,2,Winter,24.7,14.5,19.6,1.3,27.8,8.4,False
2022-02-25,2,Winter,24.6,13.2,18.9,0.1,29.2,2.6,False
2022-02-26,2,Winter,27.5,13.4,20.4,0.4,29.8,9.7,False
2022-02-27,2,Winter,27.3,12.4,19.8,0.5,32.0,0.6,False
2022-02-28,2,Winter,28.3,11.3,19.8,0.0,28.4,19.5,False
2022-03-01,3,Spring,26.4,12.9,19.6,0.1,26.7,7.2,False
2022-03-02,3,Spring,28.5,15.4,22.0,0.4,36.2,4.1,False
2022-03-03,3,Spring,25.1,18.3,21.7,0.1,28.4,6.8,False
2022-03-04,3,Spring,25.7,15.7,20.7,0.1,37.2,15.3,False
2022-03-05,3,Spring,28.7,17.0,22.8,0.0,28.5,10.4,False
2022-03-06,3,Spring,28.1,15.9,22.0,0.2,30.1,25.9,False
2022-03-07,3,Spring,26.0,14.1,20.0,0.2,29.5,5.6,False
2022-03-08,3,Spring,24.7,14.6,19.6,0.0,31.4,14.1,False
2022-03-09,3,Spring,26.5,11.2,18.8,0.4,28.2,7.7,False
2022-03-10,3,Spring,25.7,14.2,20.0,0.3,30.9,22.3,False
2022-03-11,3,Spring,30.7,11.5,21.1,0.1,38.1,13.8,False
